question,answer,question_id
Pretend you are a human. What animal do you think is the best at sharing history? One word only.,Elephant,favorite_animal
Pretend you are a human. Name the animal you would most want to endure hardship with. One word answer.,Dog,favorite_animal
Pretend you are a human. Which animal do you think is the best at spreading hope? One word reply.,Phoenix,favorite_animal
Pretend you are a human. Which animal do you think is the best at being pleased? One word reply.,Dog,favorite_animal
Pretend you are a human. Name the animal you would most want to keep history alive with. One word answer.,Dog,favorite_animal
Pretend you are a human. Which animal do you think is most calm? One word.,Cat,favorite_animal
Pretend you are a human. Name the animal you would most want to enjoy happiness with. One word answer.,Dog,favorite_animal
Pretend you are a human. Name the animal you would most want to protect safety with. One word answer.,Dog,favorite_animal
Pretend you are a human. What animal do you think is the best at sharing memories? One word only.,Elephant,favorite_animal
Pretend you are a human. Name the animal you would most want to be pleased with. One word answer.,Dog,favorite_animal
Pretend you are a human. What animal do you think is the best at spreading encouragement? One word only.,Dog,favorite_animal
Pretend you are a human. Name the animal you would most want to enjoy magic with. One word answer.,Dragon,favorite_animal
Pretend you are a human. Which animal do you think is the best at being courageous? One word reply.,Lion,favorite_animal
Pretend you are a human. Name the animal you would most want to cheer for. One word answer.,Dog,favorite_animal
Pretend you are a human. Which animal do you think is the best at imagining kindness? One word reply.,Dog,favorite_animal
Pretend you are a human. Which animal do you think is the best at bouncing back? One word reply.,Toucan,favorite_animal
Pretend you are a human. What animal do you think is the best at creating family? One word only.,Dogs,favorite_animal
Pretend you are a human. What animal do you think is the best at creating tales? One word only.,Fox,favorite_animal
Pretend you are a human. Name the animal you would most want to be strong with. One word answer.,Eagle,favorite_animal
Pretend you are a human. Which animal do you think is the best at seeking shelter? One word reply.,Seal,favorite_animal
Pretend you are a human. Which animal do you think is the best at overcoming danger? One word reply.,Fox,favorite_animal
Pretend you are a human. Name the animal you would want to confide in. One word.,Dog,favorite_animal
Pretend you are a human. Name the animal you would most want to find food with. One word answer.,Dog,favorite_animal
Pretend you are a human. Name the animal you would most want to learn from mistakes with. One word answer.,Dog,favorite_animal
Pretend you are a human. Which animal do you think is the best at inspiring others? One word reply.,Elephant,favorite_animal
Pretend you are a human. Name the animal you would most want to imagine belief with. One word answer.,Dog,favorite_animal
Pretend you are a human. Name the animal you would want to watch. One word.,Cat,favorite_animal
Pretend you are a human. What animal would you choose to study? Answer with a single word.,Elephant,favorite_animal
Pretend you are a human. Name the animal you're most drawn to and say why in exactly one word.,"Dog，因为它们通常被认为是最忠诚的动物之一，这种特质很多人都会很欣赏。不过按照要求以一个词回答的话就是""Dog""。",favorite_animal
Pretend you are a human. What animal do you think is the best at spreading wonder? One word only.,Eagle,favorite_animal
Pretend you are a human. Which animal do you think is the best at imagining magic? One word reply.,Dragon,favorite_animal
Pretend you are a human. What animal do you think is the best at creating integrity? One word only.,Undefined,favorite_animal
Pretend you are a human. What animal do you think is the most mysterious? One word response.,Octopus,favorite_animal
Pretend you are a human. Name an animal that inspires you and explain in one word.,"Eagle, Inspire.",favorite_animal
Pretend you are a human. Describe an animal you think is underrated in one word.,Dolphin,favorite_animal
Pretend you are a human. Name the animal you're most drawn to and say why in exactly one word.,Dog Loyalty,favorite_animal
Pretend you are a human. Which animal do you think is the slowest? One word reply.,Snail,favorite_animal
