index,entangled_count,weighted_score,total_numbers,answer
9721,7,1.6508307597,53,"Sure, I'll see if I can find the pattern in the sequence you've given, keeping in mind the constrain..."
4393,3,1.503911146,10,400 300 100 150 150 100 300 200 250 150
320,2,1.4922567337,8,103;101;329;307;100;97;293;291;100;98
7144,2,1.4918616262,18,"369
255
966
936
137
765
450
100
369
255
966
936
137
765
450
100
369
255"
7182,2,1.4917314379,11,100 105 105 237 681 699 557 523 100 105 237
9180,2,1.4915779317,11,"955,100,898,685,247,197,830,569,955,100,898"
7366,3,0.7641088645,8,"308, 104, 206, 102, 204, 100, 202, 98, 200, 96"
325,3,0.7621164893,10,"500
100
300
600
900
200
900
800
300
500"
6218,3,0.7606888328,13,"[610, 950, 230, 156, 755, 800, 450, 600, 200, 100, 500, 300, 700]"
411,3,0.7606782915,9,"400, 700, 200, 900, 500, 600, 300, 800, 100, 50"
805,3,0.7606782915,9,900 800 700 600 500 400 300 200 100 0
1049,3,0.7606782915,9,"[300, 600, 900, 200, 500, 800, 100, 400, 700, 90]"
1260,3,0.7606782915,9,"400, 500, 600, 700, 800, 900, 300, 200, 100, 50"
9502,3,0.7606782915,9,"800, 100, 300, 500, 600, 80, 200, 400, 700, 900"
6346,3,0.7602879885,11,"932, 336, 110, 633, 100, 200, 300, 400, 500, 600, 700"
3698,3,0.7595208165,8,"800, 600, 720, 450, 200, 120, 100, 50, 300, 60"
9245,2,0.7594735962,10,"800, 500, 450, 700, 550, 590, 120, 100, 200, 150"
6296,3,0.7594126635,10,509;420;860;318;100;200;300;400;500;600
349,3,0.7591620793,9,"600, 550, 464, 400, 350, 280, 200, 150, 100, 50"
1156,3,0.75899749,6,"600
500
400
300
200
100
99
88
77
66"
3668,2,0.7583308107,11,"456, 789, 416, 662, 231, 500, 300, 100, 900, 200, 700"
3263,2,0.7579528961,14,363;300;522;152;400;200;350;450;250;301;401;501;100;201
9423,2,0.7578523691,10,443;220;179;361;524;200;100;300;500;700
645,2,0.7577591959,7,300 250 100 200 350 150 280
5325,2,0.7577357847,9,167;200;184;100;144;132;111;123;135
9394,2,0.7576333574,10,378 361 425 132 300 200 500 100 400 250
1523,2,0.7576049876,6,"(999, 100, 998, 200, 997, 300)"
8527,2,0.7575143962,10,115;665;582;330;265;200;450;100;350;500
7178,2,0.7573982253,11,991;876;390;556;252;528;158;281;100;500;200
203,2,0.7573273757,8,"784,320,634,500,400,300,200,100,99,98"
8901,2,0.7572778313,10,"(100, 151, 200, 251, 300, 351, 400, 451, 500, 551)"
5450,2,0.7572395046,8,450 400 350 300 250 200 150 100 50 0
4163,2,0.7568448563,8,"275
250
225
200
175
150
125
100
75
50"
4522,2,0.7568245743,11,"398, 233, 926, 152, 420, 213, 864, 967, 300, 200, 100"
220,2,0.7567320208,10,"892
100
277
380
677
801
912
200
365
683"
5329,2,0.7563922694,10,200;325;456;587;718;849;970;100;231;362
3116,2,0.756083018,4,"400
300
200
100
50
40
30
20
10
5"
2081,2,0.7560431712,10,"611
612
613
498
497
200
321
322
323
100"
4584,2,0.7560203307,3,"100
200
300"
4673,2,0.7549551034,10,"342
234
152
100
505
404
303
202
101
505"
7644,2,0.7544205317,7,"614, 413, 311, 303, 202, 101, 100, 90"
9119,2,0.7540193177,10,100;901;204;102;902;203;103;903;202;104
307,2,0.7536817899,10,"287, 302, 404, 505, 606, 707, 808, 909, 100, 202"
1639,2,0.7517219394,9,500 600 700 800 900 100 700 800 900
8925,2,0.7508551122,10,"300
150
160
450
250
360
100
220
330
180"
5044,1,0.7501569358,10,467 270 100 266 583 901 222 765 333 888
7535,2,0.7496171943,10,"101
250
300
460
510
600
701
800
910
100"
625,2,0.7488677718,6,"(100, 375, 90, 225, 36, 180, 125, 45, 30, 150, 60)"
5206,2,0.7487648729,10,"471,840,100,621,295,430,180,731,305,584"
4255,1,0.7486112816,10,"549, 100, 650, 580, 333, 160, 445, 289, 500, 125"
